USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0  53044 11508 ?        Ss   янв21   0:11 /usr/lib/systemd/systemd --switched-root --system --deserialize=48 rhgb
root        1090  0.0  0.0 296908  7112 ?        S    янв21   0:05 /usr/libexec/sssd/sssd_pac --uid 0 --gid 0 --logger=files
root        1091  0.0  0.0 561204  7900 ?        Ssl  янв21   0:03 /usr/libexec/accounts-daemon
root        1092  0.0  0.0  29800  7824 ?        Ss   янв21   0:01 /usr/lib/systemd/systemd-logind
root        1121  0.0  0.0 566412 15320 ?        Ssl  янв21   6:38 /usr/sbin/NetworkManager --no-daemon
root        1189  0.0  0.0  16380  9156 ?        Ss   янв21   2:04 /usr/sbin/wpa_supplicant -c /etc/wpa_supplicant/wpa_supplicant.conf -u -s
root        1199  0.0  0.0 276924  8104 ?        Ss   янв21   0:00 /usr/sbin/cupsd -l
root        1202  0.0  0.0   8516  3052 ?        Ss   янв21   0:00 /usr/sbin/oddjobd -n -p /run/oddjobd.pid -t 300
root        1206  0.0  0.0 342376  2872 ?        Ssl  янв21   0:00 /usr/sbin/gssproxy -D
colord      1213  0.0  0.0 557848  9044 ?        Ssl  янв21   0:00 /usr/libexec/colord
root        1214  0.0  0.0  19156  2620 ?        Ssl  янв21   0:00 /usr/sbin/rpc.gssd
root        1296  0.0  0.0 228500  1872 ?        Ss   янв21   0:00 /bin/sh /usr/bin/anydesk --service
root        1297  0.0  0.0  11752  2960 ?        Ss   янв21   0:00 /usr/sbin/atd -f
root        1298  0.0  0.0 229976  2872 ?        Ss   янв21   0:01 /usr/sbin/crond -n
root        1299  0.0  0.0 329056  7396 ?        SLsl янв21   0:00 /usr/sbin/lightdm
root        1300  0.0  0.0 660700  9992 ?        Sl   янв21   3:58 /usr/libexec/anydesk --service
root        1313  0.6  0.5 1712424 91624 tty1    Ssl+ янв21  80:31 /usr/libexec/Xorg -core -noreset :0 -seat seat0 -auth /run/lightdm/root/:0 -nolisten tcp vt1 -novtswitch
root        1354  0.0  0.0      0     0 ?        S    янв21   0:00 [psimon]
root        1451  0.0  0.0 270776  6720 ?        Sl   янв21   0:00 lightdm --session-child 13 23
a.yersi+    1474  0.0  0.0  29736  9328 ?        Ss   янв21   0:00 /usr/lib/systemd/systemd --user
a.yersi+    1475  0.0  0.0  45348  1040 ?        S    янв21   0:00 (sd-pam)
a.yersi+    1486  0.0  0.0 534624  5260 ?        Sl   янв21   0:01 /usr/bin/gnome-keyring-daemon --daemonize --login
a.yersi+    1490  0.0  0.0 502740 10432 ?        Ssl  янв21   0:05 /usr/libexec/cinnamon-session-binary --session cinnamon
a.yersi+    1511  0.0  0.0  18368  3804 ?        Ss   янв21   0:00 /usr/bin/dbus-broker-launch --scope user
a.yersi+    1512  0.0  0.0   7256  4784 ?        S    янв21   0:32 dbus-broker --log 4 --controller 11 --machine-id 0e8978d64297488ca4312ca8202ef1ab --max-bytes 100000000000000 --max-fds 25000000000000 --max-matches 5000000000
a.yersi+    1521  0.0  0.0 545920  7696 ?        Ssl  янв21   0:00 /usr/libexec/imsettings-daemon
a.yersi+    1525  0.0  0.0 537724  6388 ?        Ssl  янв21   0:00 /usr/libexec/gvfsd
a.yersi+    1531  0.0  0.0 692600  7092 ?        Sl   янв21   0:00 /usr/libexec/gvfsd-fuse /run/user/73401664/gvfs -f
a.yersi+    1666  0.0  0.0   7904   560 ?        Ss   янв21   0:02 /usr/bin/ssh-agent /bin/sh -c exec -l /bin/bash -c "cinnamon-session-cinnamon"
a.yersi+    1705  0.0  0.0 871096 11508 ?        Sl   янв21   0:01 /usr/bin/csd-color
a.yersi+    1706  0.0  0.0 330796  8392 ?        Sl   янв21   0:01 /usr/bin/csd-print-notifications
a.yersi+    1708  0.0  0.0 574060 12364 ?        Sl   янв21   0:21 /usr/bin/csd-housekeeping
a.yersi+    1709  0.0  0.0 302800  4440 ?        Sl   янв21   0:00 /usr/bin/csd-screensaver-proxy
a.yersi+    1710  0.0  0.0 319096  6892 ?        Sl   янв21   0:00 /usr/bin/csd-a11y-settings
a.yersi+    1711  0.0  0.0 573728 12148 ?        Sl   янв21   0:35 /usr/bin/csd-keyboard
a.yersi+    1719  0.0  0.0 317992  6876 ?        Sl   янв21   0:00 /usr/bin/csd-settings-remap
a.yersi+    1723  0.0  0.0 799296 14104 ?        Sl   янв21   0:01 /usr/bin/csd-automount
a.yersi+    1724  0.0  0.0 727332 13084 ?        Sl   янв21   0:05 /usr/bin/csd-media-keys
a.yersi+    1729  0.0  0.0 574584 11476 ?        Sl   янв21   0:01 /usr/bin/csd-wacom
a.yersi+    1730  0.0  0.0 1145136 11840 ?       Sl   янв21   0:02 /usr/bin/csd-background
a.yersi+    1731  0.0  0.1 814100 17300 ?        Sl   янв21   0:26 /usr/bin/csd-power
a.yersi+    1732  0.0  0.0 576020 11996 ?        Sl   янв21   0:02 /usr/bin/csd-xsettings
a.yersi+    1733  0.0  0.0 499904 11640 ?        Sl   янв21   0:01 /usr/bin/csd-clipboard
a.yersi+    1736  0.0  0.0 229656  4920 ?        Ssl  янв21   0:00 /usr/libexec/dconf-service
a.yersi+    1749  0.0  0.0 395356  7764 ?        Ssl  янв21   0:00 /usr/libexec/at-spi-bus-launcher
a.yersi+    1776  0.0  0.0   9148  3392 ?        S    янв21   0:00 /usr/bin/dbus-broker-launch --config-file=/usr/share/defaults/at-spi2/accessibility.conf --scope user
a.yersi+    1777  0.0  0.0   5148  2916 ?        S    янв21   0:02 dbus-broker --log 4 --controller 9 --machine-id 0e8978d64297488ca4312ca8202ef1ab --max-bytes 100000000000000 --max-fds 6400000 --max-matches 5000000000
a.yersi+    1787  0.0  0.0 233724  5612 ?        Ssl  янв21   0:13 /usr/libexec/at-spi2-registryd --use-gnome-session
a.yersi+    1789  0.0  0.0 785888 10464 ?        Ssl  янв21   0:02 /usr/libexec/gvfs-udisks2-volume-monitor
a.yersi+    1801  0.0  0.0 527984  4944 ?        Ssl  янв21   0:00 /usr/libexec/gvfs-mtp-volume-monitor
a.yersi+    1809  0.0  0.0 529808  5248 ?        Ssl  янв21   0:00 /usr/libexec/gvfs-gphoto2-volume-monitor
a.yersi+    1815  0.0  0.0 527892  4596 ?        Ssl  янв21   0:00 /usr/libexec/gvfs-goa-volume-monitor
a.yersi+    1819  0.0  0.0 733948 10944 ?        SLsl янв21   1:34 /usr/libexec/goa-daemon
a.yersi+    1826  0.0  0.0 611672  7644 ?        Ssl  янв21   3:32 /usr/libexec/goa-identity-service
a.yersi+    1828  0.0  0.0 608424  5636 ?        Ssl  янв21   0:15 /usr/libexec/gvfs-afc-volume-monitor
a.yersi+    1841  0.0  0.0 642232  8696 ?        Sl   янв21   0:00 /usr/libexec/csd-printer
a.yersi+    1852  0.0  0.0 338792  8336 ?        Ssl  янв21   2:10 /usr/bin/pipewire
a.yersi+    1854  0.0  0.0 738696 15356 ?        Sl   янв21   0:29 cinnamon-launcher
a.yersi+    1855  0.0  0.0 723924 14552 ?        Ssl  янв21   0:30 /usr/bin/wireplumber
a.yersi+    1858  0.0  0.0 350568 14540 ?        Ssl  янв21   2:46 /usr/bin/pipewire-pulse
a.yersi+    1898  1.5  3.6 5490376 587656 ?      Sl   янв21 206:44 cinnamon --replace
root        1933  0.0  0.0      0     0 ?        S<   янв21   0:00 [krfcommd]
a.yersi+    1944  0.0  0.1 655776 17100 ?        Sl   янв21   0:02 /usr/libexec/xapps/xapp-sn-watcher
a.yersi+    1959  0.0  0.0 529476  4776 ?        Sl   янв21   0:00 /usr/libexec/geoclue-2.0/demos/agent
a.yersi+    1960  0.0  0.1 822580 18172 ?        Sl   янв21   0:12 /usr/bin/python3 -sPE /usr/bin/blueman-applet
a.yersi+    1962  0.0  0.1 1246256 18480 ?       SNl  янв21   0:19 /usr/libexec/tracker-miner-fs-3
a.yersi+    1966  0.0  0.0 876180 10340 ?        Sl   янв21   0:27 /usr/libexec/anydesk --tray
a.yersi+    1969  0.0  0.1 999620 27492 ?        Sl   янв21   0:14 /usr/bin/nemo-desktop
a.yersi+    1976  0.0  0.1 861784 21916 ?        Sl   янв21   1:52 /usr/bin/python3 /usr/bin/dnfdragora-updater
a.yersi+    1979  0.0  0.1 1110780 30452 ?       Sl   янв21   3:16 /usr/bin/nm-applet
